id,Specialty/Language
1, NLP; Finnish; Arabic; Malay; Dutch; German 
2, NLP; Foreign Language 
3, Information Retrieval/Computational Linguistics 
4, Machine Learning 
5, Machine Learning 
6, NLP 
7, Aug-24-2016 
8, NLP/Computational Linguistics 
9, NLP/Data Analysis 
10, NLP 
11, Computational Linguistics; English; Danish; Finnish; Norwegian 
12, Computational Linguistics; Pragmatics 
13, Computational Linguistics; Phonology 
14, Computational Linguistics; Phonology 
15, NLP 
16, NLP 
